SampleID	RAS_WSC_08_1819_4
d:Unclassified	 7
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Choreotrichida 	 2
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Strombidiida 	 9
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Tintinnida 	 2
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Dinophyceae_X 	 3
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Syndiniales,o:Dino-Group-I 	 14
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Syndiniales,o:Dino-Group-II 	 18
d:Archaea,p:Thermoplasmatota,c:Thermoplasmata,o:Marine_Group_II,f:Marine_Group_II 	 7
d:Archaeplastida,k:Eukaryota,p:Chlorophyta,c:Mamiellophyceae,o:Mamiellales 	 4
d:Archaeplastida,k:Eukaryota,p:Chlorophyta,c:Pyramimonadophyceae,o:Pyramimonadales 	 1
d:Archaeplastida:plas,k:Eukaryota:plas,p:Chlorophyta:plas,c:Mamiellophyceae:plas,o:Mamiellales:plas 	 2
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Cyclobacteriaceae 	 2
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Cryomorphaceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 4
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 1
d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae 	 1
d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:OCS116_clade 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 13
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 5
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 4
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Colwelliaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Shewanellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Cellvibrionaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Halieaceae 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Nitrincolaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:OM182_clade 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Porticoccaceae 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 15
